Timestamp,Roll (deg),Pitch (deg),Yaw (deg)
2025-07-03 21:46:48.963476,-1.16,0.28,0.13
2025-07-03 21:46:49.082127,-1.25,0.37,0.1
2025-07-03 21:46:49.183481,-1.27,0.39,0.12
2025-07-03 21:46:49.289435,-1.19,0.24,0.13
2025-07-03 21:46:49.383355,-1.27,0.25,0.1
2025-07-03 21:46:49.486826,-1.2,0.1,0.05
2025-07-03 21:46:49.583902,-1.21,0.08,0.1
2025-07-03 21:46:49.686804,-1.22,0.11,0.12
2025-07-03 21:46:49.783977,-1.23,-0.01,0.09
2025-07-03 21:46:49.887443,-1.19,0.14,0.11
2025-07-03 21:46:49.973834,-1.2,0.16,0.14
2025-07-03 21:46:50.086269,-1.34,0.06,0.14
2025-07-03 21:46:50.188263,-1.19,0.21,0.12
2025-07-03 21:46:50.288106,-1.2,0.07,0.15
2025-07-03 21:46:50.389057,-1.79,0.22,0.14
2025-07-03 21:46:50.488178,-1.27,0.17,0.11
2025-07-03 21:46:50.588860,-1.19,0.19,0.11
2025-07-03 21:46:50.679217,-1.19,0.17,0.11
2025-07-03 21:46:50.788273,-1.53,0.19,0.13
2025-07-03 21:46:50.888192,-1.55,0.2,0.13
2025-07-03 21:46:50.981935,-1.55,0.19,0.14
2025-07-03 21:46:51.085125,-1.56,0.19,0.14
2025-07-03 21:46:51.188574,-1.56,0.2,0.14
2025-07-03 21:46:51.287054,-1.56,0.2,0.14
2025-07-03 21:46:51.388066,-1.56,0.2,0.14
2025-07-03 21:46:51.488012,-1.56,0.2,0.14
2025-07-03 21:46:51.589012,1.83,0.21,0.16
2025-07-03 21:46:51.688419,8.47,0.14,0.21
2025-07-03 21:46:51.789078,15.58,0.09,0.14
2025-07-03 21:46:51.888693,23.01,0.05,0.09
2025-07-03 21:46:51.987669,30.6,0.01,0.05
2025-07-03 21:46:52.088672,38.39,-0.05,-0.1
2025-07-03 21:46:52.185490,46.21,-0.12,-0.16
2025-07-03 21:46:52.287985,54.06,-0.13,-0.24
2025-07-03 21:46:52.388172,62.03,-0.16,-0.34
2025-07-03 21:46:52.488550,69.89,-0.16,-0.41
2025-07-03 21:46:52.587250,77.78,-0.15,-0.46
2025-07-03 21:46:52.689178,85.06,-0.11,-0.52
2025-07-03 21:46:52.786475,87.6,-0.12,-0.55
2025-07-03 21:46:52.888330,87.57,-0.12,-0.54
2025-07-03 21:46:52.988605,87.56,-0.12,-0.53
2025-07-03 21:46:53.088550,87.56,-0.12,-0.53
2025-07-03 21:46:53.189023,87.55,-0.11,-0.53
2025-07-03 21:46:53.288289,87.54,-0.11,-0.52
2025-07-03 21:46:53.388998,87.54,-0.11,-0.52
2025-07-03 21:46:53.483344,87.54,-0.11,-0.52
2025-07-03 21:46:53.586977,87.54,-0.11,-0.52
2025-07-03 21:46:53.680280,87.54,-0.11,-0.52
