Timestamp,data
2025-07-04 16:35:06.762997,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.849750,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:06.960987,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.059517,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.164628,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.261140,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.360677,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.464180,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.562197,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.660038,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.770347,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.880550,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:07.973054,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.080582,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.178572,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.278619,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.379286,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.481908,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.579555,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.678346,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.779612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.878350,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:08.979614,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.078900,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.179296,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.279184,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.381091,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.476941,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.579724,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.679470,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.781172,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.876216,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:09.979249,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.069645,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.184103,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.278611,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.373193,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.474787,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.575729,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.674133,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.774148,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.879125,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:10.979995,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.074588,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.172188,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.270274,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.389025,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.468094,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.577483,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.681689,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.776910,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.868071,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:11.978312,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.081724,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.183732,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.276163,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.377384,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.481977,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.577224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.671615,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.778652,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.873804,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:12.974729,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.070121,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.182348,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.299981,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.396750,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.487354,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.598980,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.698041,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.800631,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.900117,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:13.998094,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.098681,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.198816,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.298897,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.398712,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.497531,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.593678,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.690094,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.794668,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.899521,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:14.999293,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.090482,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.194771,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.298970,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.399345,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.498604,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.601328,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.698890,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.798963,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:15.900015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
