Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
2025-07-03 21:46:44.366089,0.08842,0.02877,-0.96206,0.02173,0.04269,0.01738
2025-07-03 21:46:44.468722,-0.14539,0.07313,-1.01786,0.00444,-0.05482,-0.06366
2025-07-03 21:46:44.566201,-0.0832,0.01646,-0.97354,0.01359,0.06435,0.0297
2025-07-03 21:46:44.668102,0.11514,-0.0019,-1.01858,-0.04123,-0.02198,0.01158
2025-07-03 21:46:44.768038,-0.23502,-0.04058,-1.03283,-0.03658,0.00373,0.01838
2025-07-03 21:46:44.866020,0.01389,0.02975,-1.01049,-0.00344,0.01924,0.00051
2025-07-03 21:46:44.963603,-0.02316,0.00532,-1.01836,-0.02282,-0.02177,0.04572
2025-07-03 21:46:45.068057,-0.11329,0.01137,-1.01653,0.01554,0.01325,-0.23484
2025-07-03 21:46:45.168622,0.11811,0.11373,-1.00511,-0.00525,0.00779,0.09569
2025-07-03 21:46:45.269102,-0.07856,-0.05843,-1.00762,0.01372,-0.00436,0.02338
2025-07-03 21:46:45.388707,-0.00541,0.03386,-1.00894,0.00604,0.01692,-0.01388
2025-07-03 21:46:45.482646,-0.0113,0.01325,-1.00901,0.00301,0.00487,0.00381
2025-07-03 21:46:45.588710,0.00168,0.01067,-1.00764,0.00347,0.00524,0.0129
2025-07-03 21:46:45.681251,0.01197,0.01277,-1.00842,0.00171,0.00558,0.00788
2025-07-03 21:46:45.786607,0.00901,0.01249,-1.00955,0.00401,0.00636,0.01295
2025-07-03 21:46:45.888328,0.00049,0.01248,-1.00866,0.0047,0.00235,0.00903
2025-07-03 21:46:45.985994,-0.00251,0.0121,-1.00904,0.00395,0.00501,0.00722
2025-07-03 21:46:46.088887,0.00293,0.01177,-1.00815,0.00199,0.00377,0.01113
2025-07-03 21:46:46.185910,0.00493,0.01249,-1.00852,0.00247,0.00258,0.0109
2025-07-03 21:46:46.288510,0.00095,0.01179,-1.00809,0.0054,0.0054,0.00571
2025-07-03 21:46:46.385472,-0.0018,0.00919,-1.01229,0.00017,0.0026,0.01361
2025-07-03 21:46:46.486484,0.05177,0.08758,-1.0059,0.01243,-0.01966,1.09452
2025-07-03 21:46:46.588662,0.00135,-0.01768,-1.01276,-0.01257,-0.01515,1.24747
2025-07-03 21:46:46.688731,0.01926,0.02942,-1.035,-0.01323,-0.0018,1.25292
2025-07-03 21:46:46.788559,0.01701,0.01846,-1.01179,0.01983,0.00331,1.3292
2025-07-03 21:46:46.889500,0.01638,-0.00973,-1.02369,-0.02645,-0.0266,1.33889
2025-07-03 21:46:46.988122,0.02327,0.02094,-1.01265,-0.00225,-0.04465,1.32542
2025-07-03 21:46:47.084713,0.02718,0.01399,-1.00094,-0.01039,-0.00858,1.37047
2025-07-03 21:46:47.187540,0.03544,0.00213,-0.97641,-0.01741,0.01735,1.35533
2025-07-03 21:46:47.284592,0.03299,-0.01043,-0.98949,-0.01731,-0.01751,1.38418
2025-07-03 21:46:47.387981,0.01819,-0.02789,-1.00394,-0.00347,0.00655,1.42669
2025-07-03 21:46:47.484809,0.02306,-0.00203,-0.99559,0.01182,0.01707,1.38983
2025-07-03 21:46:47.588031,0.0206,0.03619,-0.99267,0.00825,0.0089,0.54913
2025-07-03 21:46:47.681131,0.03389,0.07305,-1.01217,-0.00095,0.00207,0.04485
2025-07-03 21:46:47.788026,0.00803,-0.00519,-1.00918,0.00633,0.00623,0.02119
2025-07-03 21:46:47.881729,0.01212,0.00706,-1.00953,0.00436,0.00249,0.00639
2025-07-03 21:46:47.981509,0.00667,0.00608,-1.00666,0.00475,0.00196,0.00527
2025-07-03 21:46:48.079413,0.00466,0.00388,-1.00925,0.00202,0.00573,0.00998
2025-07-03 21:46:48.182648,0.00698,0.00534,-1.0078,0.00134,0.00461,0.00925
2025-07-03 21:46:48.284524,0.00892,0.00602,-1.0079,0.00256,0.00445,0.00989
2025-07-03 21:46:48.388594,0.00687,0.00541,-1.00822,0.00346,0.00423,0.0085
2025-07-03 21:46:48.488592,0.00783,0.00599,-1.00872,0.00247,0.00125,0.00951
2025-07-03 21:46:48.586835,0.00804,0.00651,-1.00821,0.0007,0.00439,0.00837
2025-07-03 21:46:48.688215,-0.03409,0.01882,-0.99984,0.0046,0.0135,-0.02222
2025-07-03 21:46:48.788167,0.27923,0.01851,-1.00055,0.01176,0.04481,0.05419
2025-07-03 21:46:48.889199,0.15783,-0.02466,-1.01289,0.01999,0.0003,-0.03045
2025-07-03 21:46:48.985012,-0.13073,-0.00735,-0.95953,0.01709,0.02373,0.03004
2025-07-03 21:46:49.104868,0.06637,-0.0095,-1.02071,0.00132,-0.00642,0.02384
2025-07-03 21:46:49.207888,0.11077,0.03929,-1.01347,0.01868,-0.03331,-0.01872
2025-07-03 21:46:49.304916,-0.1088,0.03927,-1.05772,0.02157,-0.00642,-0.02724
2025-07-03 21:46:49.408171,0.12162,-0.01427,-0.99074,-0.01669,0.02553,0.00128
2025-07-03 21:46:49.505118,0.02793,0.02307,-1.01629,-0.01629,0.00717,-0.00761
2025-07-03 21:46:49.608130,-0.05265,0.02018,-0.99718,0.02921,0.00674,-0.04274
2025-07-03 21:46:49.705171,0.11837,-0.02906,-1.00681,-0.00525,-0.00186,0.03468
2025-07-03 21:46:49.807909,-0.18488,0.01029,-0.94284,-0.02976,0.05477,0.00665
2025-07-03 21:46:49.908411,-0.08563,-0.01449,-1.03646,-0.00244,0.01452,0.08065
2025-07-03 21:46:50.005620,0.11409,-0.01593,-1.04906,0.00747,-0.00708,0.04776
2025-07-03 21:46:50.102413,-0.28124,0.03332,-1.01086,0.00097,-0.0084,-0.07859
2025-07-03 21:46:50.208686,0.07973,0.02943,-1.03034,0.00729,0.03939,0.01099
2025-07-03 21:46:50.306371,-0.08068,0.01002,-0.98379,0.00879,-0.02431,0.0095
2025-07-03 21:46:50.403675,-0.00965,-0.0808,-1.03066,0.00763,0.03918,-0.06483
2025-07-03 21:46:50.507690,0.06466,0.05107,-0.99244,0.02398,-0.01456,0.08974
2025-07-03 21:46:50.604614,-0.01018,-0.02998,-1.01413,-0.00425,-0.00094,0.01982
2025-07-03 21:46:50.708557,-0.01422,0.00626,-1.01355,0.00026,-0.0108,0.00978
2025-07-03 21:46:50.808647,-0.01459,0.0141,-1.01013,0.00839,0.00509,-0.06118
2025-07-03 21:46:50.908773,-0.01632,0.00272,-1.01086,-0.00108,0.00218,0.02176
2025-07-03 21:46:51.006568,-0.01115,0.00781,-1.00832,0.00555,0.00155,0.00675
2025-07-03 21:46:51.104812,-0.0059,0.00414,-1.00876,0.00181,0.0036,0.01047
2025-07-03 21:46:51.208285,-0.00217,0.00434,-1.0103,0.00395,0.00571,0.00961
2025-07-03 21:46:51.304268,0.00089,0.00572,-1.0072,0.00261,0.00447,0.00717
2025-07-03 21:46:51.406175,0.00476,0.00385,-1.00955,0.00105,0.00475,0.01347
2025-07-03 21:46:51.503778,0.01409,0.00533,-1.00752,0.00447,0.00156,0.00563
2025-07-03 21:46:51.607577,-0.12709,-0.35202,-0.99595,0.03395,0.02014,1.04388
2025-07-03 21:46:51.708753,0.01935,-0.02831,-1.02051,-0.01497,-0.04697,1.13817
2025-07-03 21:46:51.800347,-0.00032,-0.04996,-1.01197,-0.01371,-0.02446,1.32163
2025-07-03 21:46:51.903121,0.0141,-0.0103,-1.01438,-0.00727,-0.01287,1.3207
2025-07-03 21:46:52.007470,0.02427,-0.01148,-1.00406,0.00882,-0.00058,1.34607
2025-07-03 21:46:52.110632,0.0255,-0.01697,-1.0122,-0.03136,0.01155,1.40445
2025-07-03 21:46:52.205225,0.01758,-0.03428,-1.01035,-0.01703,-0.01811,1.43001
2025-07-03 21:46:52.307289,0.01649,-0.00203,-1.01333,-0.00683,0.02335,1.37373
2025-07-03 21:46:52.404515,0.03238,0.02595,-0.99478,-0.00927,0.02976,1.40019
2025-07-03 21:46:52.507039,0.03088,0.01594,-1.02023,0.01648,-0.0164,1.39749
2025-07-03 21:46:52.606765,0.02804,0.00742,-1.00193,0.00798,0.00814,1.36921
2025-07-03 21:46:52.707394,0.03641,0.04256,-1.04051,-0.0201,-0.00203,1.26903
2025-07-03 21:46:52.807764,0.00925,0.02803,-1.0003,0.00057,0.01414,0.41627
2025-07-03 21:46:52.908212,0.00127,0.0136,-1.00777,0.00651,0.00907,-0.03704
2025-07-03 21:46:53.000582,0.00427,0.00926,-1.00906,0.00282,0.00251,0.00219
2025-07-03 21:46:53.108115,-0.0012,0.00477,-1.00809,0.00096,-0.00154,0.00659
2025-07-03 21:46:53.200840,-0.00218,0.00429,-1.00837,0.00586,0.00166,0.0119
2025-07-03 21:46:53.308665,-0.00202,0.00371,-1.00899,0.00148,0.00422,0.00928
2025-07-03 21:46:53.401106,7e-05,0.00419,-1.01043,0.00333,0.00405,0.00588
2025-07-03 21:46:53.508166,-0.00104,0.00274,-1.00919,0.00515,0.00368,0.00976
2025-07-03 21:46:53.608725,-0.00111,0.00372,-1.00837,0.00227,0.00412,0.00934
2025-07-03 21:46:53.708581,-0.00034,0.00319,-1.01053,0.00284,0.00532,0.00925
