Timestamp,Pos_x (m),Pos_y (m),Pos_z (m)
2025-07-03 21:46:45.448497,-0.60143,0.00644,0.0
2025-07-03 21:46:45.543775,-0.60131,0.00728,0.0
2025-07-03 21:46:45.640466,-0.6012,0.00842,0.0
2025-07-03 21:46:45.748655,-0.60165,0.00835,0.0
2025-07-03 21:46:45.846681,-0.60164,0.00757,0.0
2025-07-03 21:46:45.944413,-0.60152,0.00721,0.0
2025-07-03 21:46:46.047386,-0.60149,0.00736,0.0
2025-07-03 21:46:46.148118,-0.6015,0.00744,0.0
2025-07-03 21:46:46.248398,-0.60153,0.00757,0.0
2025-07-03 21:46:46.343965,-0.60155,0.00772,0.0
2025-07-03 21:46:46.445982,-0.60546,0.00896,0.0
2025-07-03 21:46:46.547458,-0.60634,0.00837,0.0
2025-07-03 21:46:46.640628,-0.60753,0.0073,0.0
2025-07-03 21:46:46.746553,-0.60795,0.00589,0.0
2025-07-03 21:46:46.848402,-0.60698,0.00594,0.0
2025-07-03 21:46:46.947341,-0.6064,0.00505,0.0
2025-07-03 21:46:47.048403,-0.60602,0.00394,0.0
2025-07-03 21:46:47.145391,-0.60537,0.0032,0.0
2025-07-03 21:46:47.248187,-0.6041,0.00301,0.0
2025-07-03 21:46:47.345177,-0.60257,0.00298,0.0
2025-07-03 21:46:47.448495,-0.60115,0.0035,0.0
2025-07-03 21:46:47.545148,-0.59931,0.00621,0.0
2025-07-03 21:46:47.648243,-0.5987,0.00915,0.0
2025-07-03 21:46:47.748278,-0.5986,0.00971,0.0
2025-07-03 21:46:47.848471,-0.59855,0.00941,0.0
2025-07-03 21:46:47.939906,-0.59831,0.0092,0.0
2025-07-03 21:46:48.048740,-0.5984,0.00902,0.0
2025-07-03 21:46:48.141290,-0.59869,0.00865,0.0
2025-07-03 21:46:48.248579,-0.59895,0.00812,0.0
2025-07-03 21:46:48.347764,-0.59933,0.00812,0.0
2025-07-03 21:46:48.448434,-0.59969,0.00818,0.0
2025-07-03 21:46:48.549805,-0.59999,0.00828,0.0
2025-07-03 21:46:48.646379,-0.60041,0.00852,0.0
2025-07-03 21:46:48.746102,-0.58173,0.00798,0.0
2025-07-03 21:46:48.848369,-0.53812,0.00738,0.0
2025-07-03 21:46:48.948958,-0.49752,0.00608,0.0
2025-07-03 21:46:49.068795,-0.46559,0.00649,0.0
2025-07-03 21:46:49.165305,-0.4205,0.00544,0.0
2025-07-03 21:46:49.268583,-0.37874,0.00509,0.0
2025-07-03 21:46:49.365706,-0.33978,0.00469,0.0
2025-07-03 21:46:49.468236,-0.29047,0.00391,0.0
2025-07-03 21:46:49.565735,-0.24701,0.00315,0.0
2025-07-03 21:46:49.668585,-0.20118,0.00205,0.0
2025-07-03 21:46:49.765523,-0.15805,0.00145,0.0
2025-07-03 21:46:49.868223,-0.13496,0.00079,0.0
2025-07-03 21:46:49.958134,-0.10184,-1e-05,0.0
2025-07-03 21:46:50.054176,-0.07771,-0.00079,0.0
2025-07-03 21:46:50.166429,-0.07062,-0.00179,0.0
2025-07-03 21:46:50.260818,-0.05697,-0.00246,0.0
2025-07-03 21:46:50.362399,-0.05928,-0.00183,0.0
2025-07-03 21:46:50.468230,-0.0522,-0.00023,0.0
2025-07-03 21:46:50.563118,-0.04381,0.00047,0.0
2025-07-03 21:46:50.663713,-0.03769,-0.0,0.0
2025-07-03 21:46:50.767799,-0.03341,0.00102,0.0
2025-07-03 21:46:50.867516,-0.03104,0.00083,0.0
2025-07-03 21:46:50.967851,-0.03039,0.00082,0.0
2025-07-03 21:46:51.067237,-0.03113,0.00091,0.0
2025-07-03 21:46:51.163779,-0.03288,0.00088,0.0
2025-07-03 21:46:51.268212,-0.03418,0.00084,0.0
2025-07-03 21:46:51.368149,-0.03424,0.00084,0.0
2025-07-03 21:46:51.468338,-0.03392,0.00089,0.0
2025-07-03 21:46:51.566050,-0.03391,0.00015,0.0
2025-07-03 21:46:51.667882,-0.03325,-0.00087,0.0
2025-07-03 21:46:51.769062,-0.03199,-0.00166,0.0
2025-07-03 21:46:51.868485,-0.03093,-0.0016,0.0
2025-07-03 21:46:51.968438,-0.03094,-0.00094,0.0
2025-07-03 21:46:52.067175,-0.03073,0.00025,0.0
2025-07-03 21:46:52.167653,-0.03054,0.0008,0.0
2025-07-03 21:46:52.267832,-0.02931,0.00089,0.0
2025-07-03 21:46:52.367608,-0.0282,0.00131,0.0
2025-07-03 21:46:52.468794,-0.02838,0.00201,0.0
2025-07-03 21:46:52.567825,-0.02854,0.0026,0.0
2025-07-03 21:46:52.664259,-0.02764,0.00265,0.0
2025-07-03 21:46:52.768158,-0.03039,0.00333,0.0
2025-07-03 21:46:52.868062,-0.03226,0.00304,0.0
2025-07-03 21:46:52.958785,-0.03219,0.00228,0.0
2025-07-03 21:46:53.068213,-0.03185,0.00199,0.0
2025-07-03 21:46:53.160506,-0.03182,0.00137,0.0
2025-07-03 21:46:53.262191,-0.0317,0.00095,0.0
2025-07-03 21:46:53.363282,-0.03151,0.00082,0.0
2025-07-03 21:46:53.464746,-0.03129,0.00104,0.0
2025-07-03 21:46:53.566085,-0.0311,0.00128,0.0
2025-07-03 21:46:53.667127,-0.0309,0.00148,0.0
2025-07-03 21:46:53.768850,-0.03073,0.00167,0.0
