Timestamp,Pos_x (m),Pos_y (m),Pos_z (m)
2025-07-04 16:35:12.496274,0.01181,0.60556,0.0
2025-07-04 16:35:12.606151,0.01179,0.60546,0.0
2025-07-04 16:35:12.722208,0.01165,0.60604,0.0
2025-07-04 16:35:12.814150,0.01152,0.6065,0.0
2025-07-04 16:35:12.914182,0.01148,0.60677,0.0
2025-07-04 16:35:13.014364,0.01145,0.60705,0.0
2025-07-04 16:35:13.126088,0.01143,0.6072,0.0
2025-07-04 16:35:13.214685,0.01139,0.60735,0.0
2025-07-04 16:35:13.319211,0.01098,0.59939,0.0
2025-07-04 16:35:13.414864,0.00778,0.56026,0.0
2025-07-04 16:35:13.518285,0.00611,0.51433,0.0
2025-07-04 16:35:13.616663,0.00448,0.45697,0.0
2025-07-04 16:35:13.715444,0.00289,0.41148,0.0
2025-07-04 16:35:13.821530,0.00145,0.367,0.0
2025-07-04 16:35:13.919446,0.00031,0.32376,0.0
2025-07-04 16:35:14.015572,-0.0008,0.27378,0.0
2025-07-04 16:35:14.115581,-0.00231,0.22592,0.0
2025-07-04 16:35:14.215425,-0.00362,0.17929,0.0
2025-07-04 16:35:14.315609,-0.00512,0.14445,0.0
2025-07-04 16:35:14.415588,-0.00567,0.11492,0.0
2025-07-04 16:35:14.515937,-0.00751,0.08524,0.0
2025-07-04 16:35:14.616182,-0.00952,0.07085,0.0
2025-07-04 16:35:14.719664,-0.01118,0.06164,0.0
2025-07-04 16:35:14.819932,-0.01056,0.0573,0.0
2025-07-04 16:35:14.921870,-0.01097,0.05018,0.0
2025-07-04 16:35:15.017307,-0.01129,0.0432,0.0
2025-07-04 16:35:15.117629,-0.01141,0.03672,0.0
2025-07-04 16:35:15.219612,-0.01189,0.03077,0.0
2025-07-04 16:35:15.318204,-0.01221,0.02602,0.0
2025-07-04 16:35:15.418174,-0.01197,0.02198,0.0
2025-07-04 16:35:15.518398,-0.01203,0.0188,0.0
2025-07-04 16:35:15.618578,-0.012,0.0174,0.0
2025-07-04 16:35:15.718678,-0.01153,0.01688,0.0
2025-07-04 16:35:15.832652,-0.01141,0.01727,0.0
2025-07-04 16:35:15.939022,-0.01089,0.01646,0.0
2025-07-04 16:35:16.040258,-0.01413,0.01675,0.0
2025-07-04 16:35:16.136862,-0.01524,0.01458,0.0
2025-07-04 16:35:16.233638,-0.01559,0.01312,0.0
2025-07-04 16:35:16.334142,-0.01505,0.01279,0.0
2025-07-04 16:35:16.441213,-0.01382,0.01279,0.0
2025-07-04 16:35:16.534628,-0.01252,0.01192,0.0
2025-07-04 16:35:16.631922,-0.01168,0.01083,0.0
2025-07-04 16:35:16.741129,-0.01076,0.01032,0.0
2025-07-04 16:35:16.836898,-0.0093,0.01088,0.0
2025-07-04 16:35:16.939249,-0.00703,0.011,0.0
2025-07-04 16:35:17.026921,-0.00569,0.0109,0.0
2025-07-04 16:35:17.140197,-0.0039,0.01357,0.0
2025-07-04 16:35:17.239184,-0.00235,0.0136,0.0
2025-07-04 16:35:17.337793,-0.00185,0.01413,0.0
2025-07-04 16:35:17.456098,-0.00188,0.01425,0.0
2025-07-04 16:35:17.532026,-0.00177,0.01378,0.0
2025-07-04 16:35:17.640761,-0.00152,0.01393,0.0
2025-07-04 16:35:17.739330,-0.00153,0.01377,0.0
2025-07-04 16:35:17.843351,-0.00209,0.01359,0.0
2025-07-04 16:35:17.933621,-0.0027,0.01335,0.0
2025-07-04 16:35:18.030318,-0.00324,0.01311,0.0
2025-07-04 16:35:18.145599,-0.00379,0.01288,0.0
