Timestamp_capture,Speed,Angle,Timestamp_internal,State
2025-07-08 11:03:38.712148,"[3, -2, -4, 0]","[24419, 11274, 12270, 22027]","[53016, 53011, 53013, 53014]","[0, 0, 0, 0]"
2025-07-08 11:03:38.813653,"[1, 1, 0, -2]","[24422, 11273, 12267, 22029]","[53076, 53071, 53073, 53074]","[0, 0, 0, 0]"
2025-07-08 11:03:38.914494,"[1, 0, 3, -1]","[24423, 11270, 12267, 22032]","[53136, 53131, 53133, 53134]","[0, 0, 0, 0]"
2025-07-08 11:03:39.020784,"[81, -41, -34, 46]","[25917, 10183, 11516, 22879]","[53196, 53191, 53193, 53194]","[0, 0, 0, 0]"
2025-07-08 11:03:39.121707,"[81, -67, -88, 84]","[30544, 6625, 8398, 26616]","[53256, 53251, 53253, 53254]","[0, 0, 0, 0]"
2025-07-08 11:03:39.211876,"[82, -82, -93, 73]","[2305, 2411, 3941, 31303]","[53316, 53311, 53313, 53314]","[0, 0, 0, 0]"
2025-07-08 11:03:39.312496,"[73, -67, -74, 78]","[6371, 31178, 32745, 2863]","[53376, 53371, 53373, 53374]","[0, 0, 0, 0]"
2025-07-08 11:03:39.411569,"[98, -87, -103, 92]","[10783, 26830, 28289, 7351]","[53436, 53431, 53433, 53434]","[0, 0, 0, 0]"
2025-07-08 11:03:39.512329,"[95, -75, -83, 95]","[15619, 21922, 23278, 12326]","[53496, 53491, 53493, 53494]","[0, 0, 0, 0]"
2025-07-08 11:03:39.611591,"[97, -80, -81, 91]","[20140, 17407, 18742, 16786]","[53556, 53551, 53553, 53554]","[0, 0, 0, 0]"
2025-07-08 11:03:39.716171,"[104, -86, -87, 83]","[25177, 12477, 13747, 21934]","[53616, 53611, 53613, 53614]","[0, 0, 0, 0]"
2025-07-08 11:03:39.813439,"[83, -92, -95, 91]","[30307, 7521, 8582, 27084]","[53676, 53671, 53673, 53674]","[0, 0, 0, 0]"
2025-07-08 11:03:39.912349,"[92, -91, -106, 96]","[2488, 2687, 3765, 31954]","[53736, 53731, 53733, 53734]","[0, 0, 0, 0]"
2025-07-08 11:03:40.018930,"[59, -63, -79, 62]","[6750, 31060, 32202, 3522]","[53796, 53791, 53793, 53794]","[0, 0, 0, 0]"
2025-07-08 11:03:40.113929,"[50, -52, -49, 53]","[9897, 27889, 28971, 6779]","[53856, 53851, 53853, 53854]","[0, 0, 0, 0]"
2025-07-08 11:03:40.231903,"[62, -58, -62, 52]","[12947, 24743, 25859, 9942]","[53916, 53911, 53913, 53914]","[0, 0, 0, 0]"
2025-07-08 11:03:40.353111,"[31, -32, -26, 30]","[15304, 22379, 23414, 12304]","[53976, 53971, 53973, 53974]","[0, 0, 0, 0]"
2025-07-08 11:03:40.452061,"[23, -15, -24, 6]","[16567, 21030, 22195, 13579]","[54036, 54031, 54033, 54034]","[0, 0, 0, 0]"
2025-07-08 11:03:40.554119,"[4, -4, 2, 8]","[17210, 20332, 21553, 14241]","[54096, 54091, 54093, 54094]","[0, 0, 0, 0]"
2025-07-08 11:03:40.652543,"[10, -9, -16, 8]","[17486, 19913, 21266, 14683]","[54156, 54151, 54153, 54154]","[0, 0, 0, 0]"
2025-07-08 11:03:40.751863,"[19, -15, -26, 16]","[18437, 19095, 20334, 15431]","[54216, 54211, 54213, 54214]","[0, 0, 0, 0]"
2025-07-08 11:03:40.852549,"[14, -15, -11, 18]","[19362, 18233, 19436, 16273]","[54276, 54271, 54273, 54274]","[0, 0, 0, 0]"
2025-07-08 11:03:40.951549,"[6, -15, -13, 12]","[19986, 17511, 18844, 17030]","[54336, 54331, 54333, 54334]","[0, 0, 0, 0]"
2025-07-08 11:03:41.051590,"[8, -8, -6, 4]","[20506, 17030, 18356, 17490]","[54396, 54391, 54393, 54394]","[0, 0, 0, 0]"
