Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
2025-07-04 16:35:06.416003,0.01689,-0.06042,-0.98883,-0.03587,0.0131,1.42216
2025-07-04 16:35:06.517836,0.01401,-0.02071,-0.99426,-0.0288,0.02247,1.36244
2025-07-04 16:35:06.619472,0.02311,0.00791,-0.99815,0.00257,-0.00955,1.42286
2025-07-04 16:35:06.715981,0.01754,0.00173,-1.01439,-0.00913,0.00718,1.38126
2025-07-04 16:35:06.821569,0.01083,-0.02982,-1.00294,-0.01441,-0.01769,1.44586
2025-07-04 16:35:06.919573,0.01615,-0.00793,-1.0078,0.00089,-0.03267,1.44796
2025-07-04 16:35:07.016262,0.0481,0.10007,-1.0129,-0.0222,0.00118,0.54583
2025-07-04 16:35:07.118889,0.01464,0.05849,-1.00547,0.00274,0.00573,0.14722
2025-07-04 16:35:07.214478,-0.00395,-0.00451,-1.00857,-0.00022,0.00458,0.01936
2025-07-04 16:35:07.311647,0.00626,0.01567,-1.0084,0.00303,0.00144,0.00638
2025-07-04 16:35:07.414842,0.00564,0.00848,-1.0076,0.00067,0.00546,0.00892
2025-07-04 16:35:07.512468,0.00444,0.01115,-1.00766,0.00253,0.00158,0.01149
2025-07-04 16:35:07.609012,0.00066,0.01044,-1.00696,3e-05,0.0008,0.01535
2025-07-04 16:35:07.740238,0.0032,0.00962,-1.00831,0.00045,0.00319,0.01166
2025-07-04 16:35:07.839480,0.00441,0.01126,-1.00615,0.00205,0.00054,0.01143
2025-07-04 16:35:07.941811,0.00067,0.01023,-1.00703,0.00023,0.00617,0.00832
2025-07-04 16:35:08.040844,0.00267,0.01059,-1.00793,0.00288,0.00152,0.01069
2025-07-04 16:35:08.136389,0.00556,0.00952,-1.0062,0.00328,0.00762,0.00594
2025-07-04 16:35:08.234473,0.24813,0.00902,-0.99326,0.02224,-0.00668,0.06818
2025-07-04 16:35:08.330243,0.17599,0.02573,-0.9734,-0.00824,-0.02477,-0.05035
2025-07-04 16:35:08.435287,-0.08092,-0.01924,-1.00097,-0.00174,-0.01791,0.00628
2025-07-04 16:35:08.525189,-0.00253,0.02256,-1.00017,0.01216,0.01645,-0.01817
2025-07-04 16:35:08.639975,0.15166,0.03673,-0.99098,0.02727,-0.02288,-0.022
2025-07-04 16:35:08.738775,-0.09346,0.01881,-0.99827,-0.00891,0.00771,0.00855
2025-07-04 16:35:08.842020,0.06663,0.02664,-1.00448,0.01138,0.05166,-0.00086
2025-07-04 16:35:08.940096,0.07454,0.01272,-0.9664,0.00325,0.00918,-0.01763
2025-07-04 16:35:09.039653,-0.08071,0.02063,-0.95135,0.03214,0.00585,0.0046
2025-07-04 16:35:09.129731,-0.03682,-0.01823,-0.96762,0.05166,-0.04404,0.03093
2025-07-04 16:35:09.241243,-0.13609,-0.00021,-1.01865,-0.00293,-0.00292,0.017
2025-07-04 16:35:09.336503,0.02667,0.04223,-0.99012,0.01479,0.01443,-0.04536
2025-07-04 16:35:09.436146,-0.05065,-0.0131,-1.00196,0.0063,-0.01149,0.07406
2025-07-04 16:35:09.529746,-0.12104,0.01456,-1.00983,0.01567,-0.00479,-0.00286
2025-07-04 16:35:09.630344,0.00156,0.01387,-1.02535,-0.02188,-0.01824,0.00718
2025-07-04 16:35:09.736247,-0.0498,0.00801,-1.02348,0.0025,0.02811,0.02548
2025-07-04 16:35:09.843313,0.09005,0.02647,-1.00623,0.00044,-0.00158,-0.00219
2025-07-04 16:35:09.940213,-0.01238,0.00887,-1.00643,0.0096,0.01118,0.01527
2025-07-04 16:35:10.037053,-0.01446,0.01677,-1.01242,-0.0159,-0.00401,0.02549
2025-07-04 16:35:10.133811,-0.00839,0.01221,-1.00615,0.00433,-0.0039,-0.00228
2025-07-04 16:35:10.237745,-0.01097,0.0141,-1.0057,0.00105,0.00236,0.00882
2025-07-04 16:35:10.340845,-0.01541,0.01034,-1.00771,0.00306,0.00451,0.00967
2025-07-04 16:35:10.441085,-0.0048,0.00823,-1.0054,0.00086,0.00435,0.00994
2025-07-04 16:35:10.540719,-0.00527,0.01222,-1.00617,0.00267,0.00316,0.00835
2025-07-04 16:35:10.639871,-0.01052,0.00957,-1.00815,-0.00099,0.001,0.00695
2025-07-04 16:35:10.740716,-0.00613,0.01123,-1.00701,-0.00118,0.00129,0.00794
2025-07-04 16:35:10.840693,0.00266,0.00978,-1.00841,0.00082,0.00025,0.0128
2025-07-04 16:35:10.939747,0.0041,0.01152,-1.0064,0.00127,0.00296,0.00856
2025-07-04 16:35:11.042077,0.05288,0.06604,-1.02063,0.02161,-0.01835,1.12228
2025-07-04 16:35:11.139925,0.00106,-0.03611,-1.01334,-0.02704,-0.00316,1.27754
2025-07-04 16:35:11.236687,0.01521,0.02559,-0.99335,-0.02902,0.01047,1.27648
